device_mac,FILTERED RSSI,RAW RSSI
b0:47:bf:92:74:97,-43.706673,-49
b0:47:bf:92:74:97,-46.203194,-49
b0:47:bf:92:74:97,-46.4588,-47
b0:47:bf:92:74:97,-45.617428,-43
b0:47:bf:92:74:97,-45.104187,-43
b0:47:bf:92:74:97,-44.758255,-43
b0:47:bf:92:74:97,-44.792503,-45
b0:47:bf:92:74:97,-44.569153,-43
b0:47:bf:92:74:97,-44.394478,-43
b0:47:bf:92:74:97,-44.25405,-43
b0:47:bf:92:74:97,-44.138638,-43
b0:47:bf:92:74:97,-44.042046,-43
b0:47:bf:92:74:97,-43.959976,-43
b0:47:bf:92:74:97,-43.889343,-43
b0:47:bf:92:74:97,-43.827885,-43
b0:47:bf:92:74:97,-43.77389,-43
b0:47:bf:92:74:97,-43.726063,-43
b0:47:bf:92:74:97,-43.683376,-43
b0:47:bf:92:74:97,-43.645027,-43
b0:47:bf:92:74:97,-43.61037,-43
b0:47:bf:92:74:97,-43.578884,-43
b0:47:bf:92:74:97,-44.046635,-53
b0:47:bf:92:74:97,-44.0923,-45
b0:47:bf:92:74:97,-44.041718,-43
b0:47:bf:92:74:97,-43.99498,-43
b0:47:bf:92:74:97,-43.951656,-43
b0:47:bf:92:74:97,-43.91137,-43
b0:47:bf:92:74:97,-43.873802,-43
b0:47:bf:92:74:97,-43.838676,-43
b0:47:bf:92:74:97,-43.805756,-43
b0:47:bf:92:74:97,-43.77483,-43
b0:47:bf:92:74:97,-43.745716,-43
b0:47:bf:92:74:97,-43.71825,-43
b0:47:bf:92:74:97,-43.6923,-43
b0:47:bf:92:74:97,-43.66773,-43
b0:47:bf:92:74:97,-43.644432,-43
b0:47:bf:92:74:97,-43.62231,-43
b0:47:bf:92:74:97,-43.601273,-43
b0:47:bf:92:74:97,-43.58124,-43
b0:47:bf:92:74:97,-43.627865,-45
b0:47:bf:92:74:97,-43.6075,-43
b0:47:bf:92:74:97,-43.652107,-45
b0:47:bf:92:74:97,-43.631462,-43
b0:47:bf:92:74:97,-43.61169,-43
b0:47:bf:92:74:97,-43.59274,-43
b0:47:bf:92:74:97,-43.574562,-43
b0:47:bf:92:74:97,-43.557106,-43
b0:47:bf:92:74:97,-43.540337,-43
b0:47:bf:92:74:97,-43.524208,-43
b0:47:bf:92:74:97,-43.567898,-45
b0:47:bf:92:74:97,-43.551216,-43
b0:47:bf:92:74:97,-43.53514,-43
b0:47:bf:92:74:97,-43.519646,-43
b0:47:bf:92:74:97,-43.5047,-43
b0:47:bf:92:74:97,-43.490273,-43
b0:47:bf:92:74:97,-43.47634,-43
b0:47:bf:92:74:97,-43.462883,-43
b0:47:bf:92:74:97,-43.449875,-43
b0:47:bf:92:74:97,-43.437298,-43
b0:47:bf:92:74:97,-43.42513,-43
b0:47:bf:92:74:97,-43.413357,-43
b0:47:bf:92:74:97,-43.40196,-43
b0:47:bf:92:74:97,-43.390923,-43
b0:47:bf:92:74:97,-43.38023,-43
b0:47:bf:92:74:97,-43.369873,-43
b0:47:bf:92:74:97,-43.35983,-43
b0:47:bf:92:74:97,-43.350094,-43
b0:47:bf:92:74:97,-43.340652,-43
b0:47:bf:92:74:97,-43.331493,-43
b0:47:bf:92:74:97,-43.322605,-43
b0:47:bf:92:74:97,-43.31398,-43
b0:47:bf:92:74:97,-43.41227,-47
b0:47:bf:92:74:97,-43.5077,-47
b0:47:bf:92:74:97,-43.547302,-45
b0:47:bf:92:74:97,-43.585766,-45
b0:47:bf:92:74:97,-43.62313,-45
b0:47:bf:92:74:97,-43.659435,-45
b0:47:bf:92:74:97,-43.694714,-45
b0:47:bf:92:74:97,-43.729,-45
b0:47:bf:92:74:97,-43.76233,-45
b0:47:bf:92:74:97,-43.79473,-45
b0:47:bf:92:74:97,-43.826237,-45
b0:47:bf:92:74:97,-44.117863,-55
b0:47:bf:92:74:97,-44.08873,-43
b0:47:bf:92:74:97,-44.112446,-45
b0:47:bf:92:74:97,-44.187508,-47
b0:47:bf:92:74:97,-44.260525,-47
b0:47:bf:92:74:97,-44.2797,-45
b0:47:bf:92:74:97,-44.298363,-45
b0:47:bf:92:74:97,-44.316517,-45
b0:47:bf:92:74:97,-44.334187,-45
b0:47:bf:92:74:97,-44.351383,-45
b0:47:bf:92:74:97,-44.368122,-45
b0:47:bf:92:74:97,-44.38441,-45
b0:47:bf:92:74:97,-44.400272,-45
b0:47:bf:92:74:97,-44.673134,-55
b0:47:bf:92:74:97,-44.938778,-55
b0:47:bf:92:74:97,-44.94035,-45
b0:47:bf:92:74:97,-44.890507,-43
b0:47:bf:92:74:97,-44.89332,-45
b0:47:bf:92:74:97,-44.896053,-45
b0:47:bf:92:74:97,-44.89872,-45
b0:47:bf:92:74:97,-44.901314,-45
b0:47:bf:92:74:97,-44.903843,-45
b0:47:bf:92:74:97,-44.906303,-45
b0:47:bf:92:74:97,-44.908703,-45
b0:47:bf:92:74:97,-45.422676,-65
b0:47:bf:92:74:97,-45.411865,-45
b0:47:bf:92:74:97,-45.65695,-55
b0:47:bf:92:74:97,-45.640163,-45
b0:47:bf:92:74:97,-45.623814,-45
b0:47:bf:92:74:97,-45.607883,-45
b0:47:bf:92:74:97,-45.59237,-45
b0:47:bf:92:74:97,-45.57725,-45
b0:47:bf:92:74:97,-45.562527,-45
b0:47:bf:92:74:97,-45.54818,-45
b0:47:bf:92:74:97,-45.534203,-45
b0:47:bf:92:74:97,-45.520584,-45
b0:47:bf:92:74:97,-45.507317,-45
b0:47:bf:92:74:97,-45.54535,-47
b0:47:bf:92:74:97,-45.531456,-45
b0:47:bf:92:74:97,-45.51792,-45
b0:47:bf:92:74:97,-45.504734,-45
b0:47:bf:92:74:97,-45.5428,-47
b0:47:bf:92:74:97,-45.528984,-45
b0:47:bf:92:74:97,-45.973637,-63
b0:47:bf:92:74:97,-45.999756,-47
b0:47:bf:92:74:97,-46.177864,-53
b0:47:bf:92:74:97,-46.1479,-45
b0:47:bf:92:74:97,-46.118702,-45
b0:47:bf:92:74:97,-46.09025,-45
b0:47:bf:92:74:97,-46.062523,-45
b0:47:bf:92:74:97,-46.493195,-63
b0:47:bf:92:74:97,-46.45523,-45
b0:47:bf:92:74:97,-46.418236,-45
b0:47:bf:92:74:97,-46.382187,-45
b0:47:bf:92:74:97,-46.347054,-45
b0:47:bf:92:74:97,-46.31282,-45
b0:47:bf:92:74:97,-46.279457,-45
b0:47:bf:92:74:97,-46.24695,-45
b0:47:bf:92:74:97,-46.215263,-45
b0:47:bf:92:74:97,-46.235203,-47
b0:47:bf:92:74:97,-46.20382,-45
b0:47:bf:92:74:97,-46.17324,-45
b0:47:bf:92:74:97,-46.143436,-45
b0:47:bf:92:74:97,-46.165195,-47
b0:47:bf:92:74:97,-46.1356,-45
b0:47:bf:92:74:97,-46.10676,-45
b0:47:bf:92:74:97,-46.07865,-45
b0:47:bf:92:74:97,-46.051258,-45
b0:47:bf:92:74:97,-46.024563,-45
b0:47:bf:92:74:97,-45.998547,-45
b0:47:bf:92:74:97,-45.97319,-45
b0:47:bf:92:74:97,-45.948483,-45
b0:47:bf:92:74:97,-45.9244,-45
b0:47:bf:92:74:97,-45.900932,-45
b0:47:bf:92:74:97,-45.928833,-47
b0:47:bf:92:74:97,-45.905254,-45
b0:47:bf:92:74:97,-45.88227,-45
b0:47:bf:92:74:97,-45.859875,-45
b0:47:bf:92:74:97,-45.838047,-45
b0:47:bf:92:74:97,-45.816772,-45
b0:47:bf:92:74:97,-45.84681,-47
b0:47:bf:92:74:97,-45.87608,-47
b0:47:bf:92:74:97,-45.853844,-45
b0:47:bf:92:74:97,-45.83217,-45
b0:47:bf:92:74:97,-45.811047,-45
b0:47:bf:92:74:97,-45.841225,-47
b0:47:bf:92:74:97,-45.819874,-45
b0:47:bf:92:74:97,-45.799065,-45
b0:47:bf:92:74:97,-45.829544,-47
b0:47:bf:92:74:97,-45.80849,-45
b0:47:bf:92:74:97,-46.041763,-55
b0:47:bf:92:74:97,-46.066082,-47
b0:47:bf:92:74:97,-45.98827,-43
b0:47:bf:92:74:97,-45.963192,-45
b0:47:bf:92:74:97,-45.938747,-45
b0:47:bf:92:74:97,-45.914925,-45
b0:47:bf:92:74:97,-45.891705,-45
b0:47:bf:92:74:97,-45.869076,-45
b0:47:bf:92:74:97,-45.847023,-45
b0:47:bf:92:74:97,-45.87628,-47
b0:47:bf:92:74:97,-45.904797,-47
b0:47:bf:92:74:97,-45.93259,-47
b0:47:bf:92:74:97,-45.959675,-47
b0:47:bf:92:74:97,-45.93532,-45
b0:47:bf:92:74:97,-45.96234,-47
b0:47:bf:92:74:97,-45.93792,-45
b0:47:bf:92:74:97,-45.91412,-45
b0:47:bf:92:74:97,-45.941673,-47
b0:47:bf:92:74:97,-45.917778,-45
b0:47:bf:92:74:97,-45.89449,-45
b0:47:bf:92:74:97,-45.87179,-45
b0:47:bf:92:74:97,-45.84967,-45
b0:47:bf:92:74:97,-45.828114,-45
b0:47:bf:92:74:97,-45.8071,-45
b0:47:bf:92:74:97,-45.78662,-45
b0:47:bf:92:74:97,-45.76666,-45
b0:47:bf:92:74:97,-46.000946,-55
b0:47:bf:92:74:97,-45.975548,-45
b0:47:bf:92:74:97,-46.00154,-47
b0:47:bf:92:74:97,-45.97613,-45
b0:47:bf:92:74:97,-45.951363,-45
b0:47:bf:92:74:97,-45.927223,-45
b0:47:bf:92:74:97,-45.903694,-45
b0:47:bf:92:74:97,-45.880768,-45
b0:47:bf:92:74:97,-45.858418,-45
b0:47:bf:92:74:97,-45.887383,-47
b0:47:bf:92:74:97,-45.915615,-47
b0:47:bf:92:74:97,-45.892384,-45
b0:47:bf:92:74:97,-45.818993,-43
b0:47:bf:92:74:97,-45.84896,-47
b0:47:bf:92:74:97,-45.82742,-45
b0:47:bf:92:74:97,-45.85717,-47
